role_code,role_name,competency_code,indicator_code,level,work_function,assessment_tool_code,assessment_tool_path
TADS,Technical Analytics & Data Science (технический аналитик данных),MF-1,MF-1.2,С,"Подготовка и валидация наборов данных",M1-PR1,M1-fundamentals-of-ann/kim-01-matrix-algebra.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.2,Б,"Подготовка и валидация наборов данных",M1-PR2,M1-fundamentals-of-ann/kim-02-mlp-prep.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.1,Б,"Техническая реализация процедур обработки данных",M1-PR3,M1-fundamentals-of-ann/kim-03-training.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.1,Б,"Техническая реализация процедур обработки данных",M1-PR4,M1-fundamentals-of-ann/kim-04-overfitting-validation.md
Data Analyst,Data Analyst (аналитик данных),MF-1,MF-1.2,С,"Статистический анализ, тестирование гипотез, визуализация",M1-PR4,M1-fundamentals-of-ann/kim-04-overfitting-validation.md
Data Analyst,Data Analyst (аналитик данных),DL-1,DL-1.2,Б,"Статистический анализ, тестирование гипотез, визуализация",M2-PR5,M2-complex-models/kim-05-classification-metrics.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.1,Б,"Оптимизация производительности и масштабирование моделей",M2-PR6,M2-complex-models/kim-06-minibatch-gd.md
ML Researcher,ML Researcher (исследователь МО),DL-1,DL-1.1,Б,"Научные исследования и эксперименты",M2-PR7,M2-complex-models/kim-07-regularization.md
ML Researcher,ML Researcher (исследователь МО),DL-1,DL-1.1,Б,"Научные исследования и эксперименты",M2-PR8,M2-complex-models/kim-08-gradient-stabilization.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.1,Б,"Оптимизация производительности и масштабирование моделей",M2-PR9,M2-complex-models/kim-09-optimizers.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.3,Б,"Применение основных архитектур глубокого обучения",M2-PR10,M2-complex-models/kim-10-cnn.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.4,Б,"Разработка архитектур для изображений",M2-PR10,M2-complex-models/kim-10-cnn.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.12,Б,"Дообучение и адаптация моделей",M2-PR10,M2-complex-models/kim-10-cnn.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.2,Б,"Реализация неглубоких нейронных сетей",PROJECT-PR5,Project/kim-01-mlp-multiclass.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.1,Б,"Техническая реализация процедур обработки данных",PROJECT-PR5,Project/kim-01-mlp-multiclass.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.3,Б,"Применение основных архитектур глубокого обучения",PROJECT-PR10,Project/kim-02-cnn-recognition.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.4,Б,"Разработка архитектур для изображений",PROJECT-PR10,Project/kim-02-cnn-recognition.md
ML Engineer,ML Engineer (инженер по машинному обучению),DL-1,DL-1.12,Б,"Дообучение и адаптация моделей",PROJECT-PR10,Project/kim-02-cnn-recognition.md
ML Researcher,ML Researcher (исследователь МО),MF-1,MF-1.2,С,"Доклад на конференции по ИИ (опционально)",CONFERENCE,README.md#итоговая-оценка
TADS,Technical Analytics & Data Science (технический аналитик данных),MF-1,MF-1.2,С,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.1,Б,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.2,Б,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.3,Б,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.4,Б,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
TADS,Technical Analytics & Data Science (технический аналитик данных),DL-1,DL-1.12,Б,"Итоговая проверка освоения дисциплины",EXAM,Exam/kim-01-grade-test.md
